NC_000001.11	chr1
NC_000002.12	chr2
NC_000003.12	chr3
NC_000004.12	chr4
NC_000005.10	chr5
NC_000006.12	chr6
NC_000007.14	chr7
NC_000008.11	chr8
NC_000009.12	chr9
NC_000010.11	chr10
NC_000011.10	chr11
NC_000012.12	chr12
NC_000013.11	chr13
NC_000014.9	chr14
NC_000015.10	chr15
NC_000016.10	chr16
NC_000017.11	chr17
NC_000018.10	chr18
NC_000019.10	chr19
NC_000020.11	chr20
NC_000021.9	chr21
NC_000022.11	chr22
NC_000023.11	chrX
NC_000024.10	chrY
NT_187361.1	chr1_KI270706v1_random
NT_187362.1	chr1_KI270707v1_random
NT_187363.1	chr1_KI270708v1_random
NT_187364.1	chr1_KI270709v1_random
NT_187365.1	chr1_KI270710v1_random
NT_187366.1	chr1_KI270711v1_random
NT_187367.1	chr1_KI270712v1_random
NT_187368.1	chr1_KI270713v1_random
NT_187369.1	chr1_KI270714v1_random
NT_187370.1	chr2_KI270715v1_random
NT_187371.1	chr2_KI270716v1_random
NT_167215.1	chr3_GL000221v1_random
NT_113793.3	chr4_GL000008v2_random
NT_113948.1	chr5_GL000208v1_random
NT_187372.1	chr9_KI270717v1_random
NT_187373.1	chr9_KI270718v1_random
NT_187374.1	chr9_KI270719v1_random
NT_187375.1	chr9_KI270720v1_random
NT_187376.1	chr11_KI270721v1_random
NT_113796.3	chr14_GL000009v2_random
NT_113888.1	chr14_GL000194v1_random
NT_167219.1	chr14_GL000225v1_random
NT_187377.1	chr14_KI270722v1_random
NT_187378.1	chr14_KI270723v1_random
NT_187379.1	chr14_KI270724v1_random
NT_187380.1	chr14_KI270725v1_random
NT_187381.1	chr14_KI270726v1_random
NT_187382.1	chr15_KI270727v1_random
NT_187383.1	chr16_KI270728v1_random
NT_113930.2	chr17_GL000205v2_random
NT_187384.1	chr17_KI270729v1_random
NT_187385.1	chr17_KI270730v1_random
NT_187386.1	chr22_KI270731v1_random
NT_187387.1	chr22_KI270732v1_random
NT_187388.1	chr22_KI270733v1_random
NT_187389.1	chr22_KI270734v1_random
NT_187390.1	chr22_KI270735v1_random
NT_187391.1	chr22_KI270736v1_random
NT_187392.1	chr22_KI270737v1_random
NT_187393.1	chr22_KI270738v1_random
NT_187394.1	chr22_KI270739v1_random
NT_187395.1	chrY_KI270740v1_random
NT_113901.1	chrUn_GL000195v1
NT_167208.1	chrUn_GL000213v1
NT_167209.1	chrUn_GL000214v1
NT_167211.2	chrUn_GL000216v2
NT_113889.1	chrUn_GL000218v1
NT_167213.1	chrUn_GL000219v1
NT_167214.1	chrUn_GL000220v1
NT_167218.1	chrUn_GL000224v1
NT_167220.1	chrUn_GL000226v1
NT_187396.1	chrUn_KI270302v1
NT_187398.1	chrUn_KI270303v1
NT_187397.1	chrUn_KI270304v1
NT_187399.1	chrUn_KI270305v1
NT_187402.1	chrUn_KI270310v1
NT_187406.1	chrUn_KI270311v1
NT_187405.1	chrUn_KI270312v1
NT_187404.1	chrUn_KI270315v1
NT_187403.1	chrUn_KI270316v1
NT_187407.1	chrUn_KI270317v1
NT_187401.1	chrUn_KI270320v1
NT_187400.1	chrUn_KI270322v1
NT_187459.1	chrUn_KI270329v1
NT_187458.1	chrUn_KI270330v1
NT_187461.1	chrUn_KI270333v1
NT_187460.1	chrUn_KI270334v1
NT_187462.1	chrUn_KI270335v1
NT_187465.1	chrUn_KI270336v1
NT_187466.1	chrUn_KI270337v1
NT_187463.1	chrUn_KI270338v1
NT_187464.1	chrUn_KI270340v1
NT_187469.1	chrUn_KI270362v1
NT_187467.1	chrUn_KI270363v1
NT_187468.1	chrUn_KI270364v1
NT_187470.1	chrUn_KI270366v1
NT_187494.1	chrUn_KI270371v1
NT_187491.1	chrUn_KI270372v1
NT_187492.1	chrUn_KI270373v1
NT_187490.1	chrUn_KI270374v1
NT_187493.1	chrUn_KI270375v1
NT_187489.1	chrUn_KI270376v1
NT_187471.1	chrUn_KI270378v1
NT_187472.1	chrUn_KI270379v1
NT_187486.1	chrUn_KI270381v1
NT_187488.1	chrUn_KI270382v1
NT_187482.1	chrUn_KI270383v1
NT_187484.1	chrUn_KI270384v1
NT_187487.1	chrUn_KI270385v1
NT_187480.1	chrUn_KI270386v1
NT_187475.1	chrUn_KI270387v1
NT_187478.1	chrUn_KI270388v1
NT_187473.1	chrUn_KI270389v1
NT_187474.1	chrUn_KI270390v1
NT_187481.1	chrUn_KI270391v1
NT_187485.1	chrUn_KI270392v1
NT_187483.1	chrUn_KI270393v1
NT_187479.1	chrUn_KI270394v1
NT_187476.1	chrUn_KI270395v1
NT_187477.1	chrUn_KI270396v1
NT_187409.1	chrUn_KI270411v1
NT_187408.1	chrUn_KI270412v1
NT_187410.1	chrUn_KI270414v1
NT_187415.1	chrUn_KI270417v1
NT_187412.1	chrUn_KI270418v1
NT_187411.1	chrUn_KI270419v1
NT_187413.1	chrUn_KI270420v1
NT_187416.1	chrUn_KI270422v1
NT_187417.1	chrUn_KI270423v1
NT_187414.1	chrUn_KI270424v1
NT_187418.1	chrUn_KI270425v1
NT_187419.1	chrUn_KI270429v1
NT_187424.1	chrUn_KI270435v1
NT_187425.1	chrUn_KI270438v1
NT_187420.1	chrUn_KI270442v1
NT_187495.1	chrUn_KI270448v1
NT_187422.1	chrUn_KI270465v1
NT_187421.1	chrUn_KI270466v1
NT_187423.1	chrUn_KI270467v1
NT_187426.1	chrUn_KI270468v1
NT_187437.1	chrUn_KI270507v1
